customer_id,age,tenure_months,customer_segment,historical_orders,historical_revenue,avg_order_value,days_since_last_purchase,website_visits,email_opens,email_clicks,previous_campaign_response,treatment_received,discount_percentage,purchase,purchase_value,discount_cost,net_revenue,true_baseline_purchase_probability,true_treatment_purchase_probability,true_ite,true_treatment_probability
36,48,48,standard,2,93.26,48.84,42,11,12,2,0,0,0.0,0,0.0,0.0,0.0,0.1478905599,0.1478905599,0.0,0.2137917409
37,35,35,premium,5,324.11,57.96,19,5,5,0,0,1,0.05,0,0.0,0.0,0.0,0.2093444512,0.2456817013,0.03633725,0.4141298918
38,27,34,standard,2,149.77,58.99,73,7,6,1,0,0,0.0,0,0.0,0.0,0.0,0.0536992682,0.0536992682,0.0,0.1577202482
39,27,10,standard,5,237.91,72.83,19,5,6,2,0,0,0.0,0,0.0,0.0,0.0,0.0736406968,0.0736406968,0.0,0.2800395822
40,43,23,standard,5,207.89,51.79,23,3,4,0,0,1,0.05,0,0.0,0.0,0.0,0.1412717642,0.1703582836,0.0290865194,0.2885764874
41,44,44,premium,9,974.43,81.89,32,14,14,1,1,1,0.15,1,76.82,11.52,65.3,0.4565825065,0.632389838,0.1758073314,0.6498333475
42,42,16,premium,3,217.93,83.15,33,11,11,1,1,0,0.0,0,0.0,0.0,0.0,0.11042465,0.11042465,0.0,0.3146287288
43,29,61,premium,6,874.0,161.63,28,11,5,1,1,1,0.1,0,0.0,0.0,0.0,0.3183176589,0.4151357392,0.0968180804,0.5771234685
44,39,31,budget,4,337.73,92.8,14,4,4,0,0,1,0.05,0,0.0,0.0,0.0,0.1037651241,0.1257858009,0.0220206768,0.2408327811
45,37,45,premium,8,644.91,72.44,5,11,4,1,0,1,0.2,1,104.61,20.92,83.69,0.2757883353,0.5074083932,0.2316200578,0.5278762119
46,38,11,standard,8,1107.92,162.14,11,9,11,4,1,0,0.0,0,0.0,0.0,0.0,0.248276894,0.248276894,0.0,0.5925123156
47,46,34,budget,5,313.2,68.63,23,13,5,2,0,0,0.0,0,0.0,0.0,0.0,0.2032985409,0.2032985409,0.0,0.3171942137
48,38,9,standard,3,298.19,83.37,44,10,7,1,0,0,0.0,0,0.0,0.0,0.0,0.0817689777,0.0817689777,0.0,0.2442196925
49,43,17,standard,1,344.3,252.16,26,7,13,2,1,0,0.0,0,0.0,0.0,0.0,0.0743116832,0.0743116832,0.0,0.224848436
50,37,5,standard,3,397.06,122.98,42,7,3,2,0,0,0.0,0,0.0,0.0,0.0,0.094191248,0.094191248,0.0,0.2802693977
51,39,49,vip,10,1449.94,163.51,19,15,12,2,0,1,0.2,1,221.81,44.36,177.45,0.5889675819,0.8723554863,0.2833879044,0.7885571056
52,43,35,vip,5,503.33,108.37,32,10,10,1,0,0,0.0,0,0.0,0.0,0.0,0.3198954943,0.3198954943,0.0,0.5180080786
53,20,78,premium,9,536.08,46.76,20,11,4,0,0,0,0.0,1,43.88,0.0,43.88,0.2622580177,0.2622580177,0.0,0.4946980027
54,32,26,budget,3,142.54,47.37,27,6,6,0,0,1,0.05,0,0.0,0.0,0.0,0.0772551201,0.1019004643,0.0246453441,0.202057016
55,31,14,standard,4,191.55,49.59,43,10,8,0,1,0,0.0,1,59.86,0.0,59.86,0.1337522844,0.1337522844,0.0,0.3416495383
56,29,70,vip,12,1721.84,110.4,90,14,5,0,0,0,0.0,0,0.0,0.0,0.0,0.1870869644,0.1870869644,0.0,0.5290596373
57,33,120,premium,9,1162.97,162.81,48,9,8,1,1,0,0.0,1,169.92,0.0,169.92,0.3748661847,0.3748661847,0.0,0.5160770657
58,52,56,standard,8,510.52,58.16,8,9,6,1,0,1,0.05,1,57.09,2.85,54.24,0.3483734343,0.3836884931,0.0353150588,0.4404445269
59,26,61,standard,5,363.65,97.16,6,7,5,0,0,0,0.0,1,167.14,0.0,167.14,0.2583708646,0.2583708646,0.0,0.4299470301
60,47,14,budget,5,224.28,62.19,121,5,4,0,0,0,0.0,0,0.0,0.0,0.0,0.017464286,0.017464286,0.0,0.0608457368
61,18,22,premium,6,404.94,82.0,12,7,14,2,0,1,0.1,0,0.0,0.0,0.0,0.0838058856,0.147027728,0.0632218423,0.3694911802
62,32,56,premium,6,1018.32,170.94,81,13,5,0,0,1,0.1,0,0.0,0.0,0.0,0.122296979,0.1622554229,0.0399584439,0.3389765495
63,38,29,standard,3,305.79,98.94,14,11,9,0,0,0,0.0,1,100.23,0.0,100.23,0.1332182724,0.1332182724,0.0,0.3078523143
64,42,34,standard,2,113.6,64.68,7,10,4,0,0,0,0.0,1,45.41,0.0,45.41,0.216408064,0.216408064,0.0,0.3420112337
65,44,13,vip,9,907.87,105.89,27,11,12,2,0,0,0.0,0,0.0,0.0,0.0,0.2631175324,0.2631175324,0.0,0.5869719869
66,45,30,standard,3,73.89,34.68,36,9,7,1,0,0,0.0,0,0.0,0.0,0.0,0.0966270559,0.0966270559,0.0,0.2056600182
67,32,37,vip,7,1043.54,139.24,50,11,13,1,1,0,0.0,0,0.0,0.0,0.0,0.33596736,0.33596736,0.0,0.6449103919
68,31,19,budget,4,555.85,134.04,44,4,9,1,0,0,0.0,0,0.0,0.0,0.0,0.0698356809,0.0698356809,0.0,0.221802665
69,45,91,premium,4,314.96,76.29,25,17,6,0,0,0,0.0,0,0.0,0.0,0.0,0.358393861,0.358393861,0.0,0.396434053
70,34,30,premium,6,922.18,122.44,24,14,8,0,1,1,0.15,0,0.0,0.0,0.0,0.2959505788,0.4706760509,0.174725472,0.608157077
71,22,43,standard,5,520.79,125.69,29,12,11,0,0,1,0.1,0,0.0,0.0,0.0,0.1420421515,0.2120737113,0.0700315599,0.3681824979
72,24,50,premium,7,873.86,126.44,18,10,8,0,0,1,0.2,0,0.0,0.0,0.0,0.3458587188,0.607654658,0.2617959392,0.6129117873
73,26,23,vip,9,1593.45,196.33,2,12,8,1,1,1,0.15,1,189.41,28.41,161.0,0.4096464885,0.6219577916,0.2123113031,0.8196330385
74,41,17,premium,3,280.57,75.94,22,12,11,1,1,1,0.2,1,71.95,14.39,57.56,0.2852737962,0.5863449533,0.3010711571,0.4965191933
75,38,18,standard,4,396.08,103.5,29,10,6,0,1,0,0.0,1,70.16,0.0,70.16,0.1979726722,0.1979726722,0.0,0.4161974241
76,44,53,standard,4,209.72,65.8,55,6,3,1,1,0,0.0,0,0.0,0.0,0.0,0.0976165762,0.0976165762,0.0,0.2026927992
77,31,17,budget,3,154.67,47.85,53,12,5,0,0,0,0.0,0,0.0,0.0,0.0,0.0431372246,0.0431372246,0.0,0.1530145582
78,38,89,budget,3,122.48,45.92,19,5,3,0,0,1,0.05,0,0.0,0.0,0.0,0.3923890535,0.435147913,0.0427588594,0.3341002692
79,43,7,premium,4,442.95,118.13,26,7,7,0,0,1,0.05,0,0.0,0.0,0.0,0.1186405009,0.1449857335,0.0263452326,0.3449254969
80,33,88,standard,3,159.16,67.87,46,11,8,1,0,0,0.0,0,0.0,0.0,0.0,0.2284030705,0.2284030705,0.0,0.2710424248
81,41,41,standard,2,130.29,74.69,8,8,5,0,1,1,0.05,1,99.56,4.98,94.58,0.1691968004,0.2090645638,0.0398677634,0.3171107158
82,29,29,vip,4,739.53,178.99,83,9,9,3,0,0,0.0,0,0.0,0.0,0.0,0.1014699569,0.1014699569,0.0,0.3418455665
83,32,11,budget,3,160.08,60.68,63,10,5,0,1,0,0.0,0,0.0,0.0,0.0,0.061235131,0.061235131,0.0,0.1951033645
84,32,15,standard,3,230.62,85.79,61,6,7,2,0,0,0.0,0,0.0,0.0,0.0,0.0746907954,0.0746907954,0.0,0.2154105448
85,23,31,budget,9,388.04,43.29,36,5,6,1,0,0,0.0,0,0.0,0.0,0.0,0.1297899244,0.1297899244,0.0,0.3206473592
86,41,18,standard,2,79.8,42.78,42,7,2,2,1,0,0.0,0,0.0,0.0,0.0,0.1581916803,0.1581916803,0.0,0.3043129209
87,31,14,budget,2,153.51,83.03,16,7,3,0,0,0,0.0,0,0.0,0.0,0.0,0.1210398517,0.1210398517,0.0,0.2796766644
88,36,27,standard,6,445.58,62.52,28,13,3,2,0,1,0.05,1,99.46,4.97,94.49,0.1549095485,0.1856538742,0.0307443257,0.368377944
89,41,21,budget,2,112.41,54.54,10,7,2,0,1,0,0.0,0,0.0,0.0,0.0,0.122340075,0.122340075,0.0,0.269317743
90,41,66,standard,6,464.4,87.25,26,9,4,2,0,1,0.1,0,0.0,0.0,0.0,0.1883353731,0.2462541324,0.0579187593,0.3186415061
91,43,47,budget,3,212.19,79.41,38,7,8,1,1,1,0.05,0,0.0,0.0,0.0,0.1571217566,0.1882963638,0.0311746072,0.2464686576
92,35,47,vip,4,619.97,186.41,24,14,10,1,0,0,0.0,1,213.77,0.0,213.77,0.4307156439,0.4307156439,0.0,0.6157060511
93,31,31,standard,0,0.0,166.82,70,8,8,0,1,0,0.0,0,0.0,0.0,0.0,0.0637832193,0.0637832193,0.0,0.1532078696
94,35,12,standard,9,1058.07,135.52,42,9,5,3,0,0,0.0,0,0.0,0.0,0.0,0.0973319766,0.0973319766,0.0,0.3832360107
95,18,32,standard,4,276.25,79.3,34,7,7,0,0,0,0.0,0,0.0,0.0,0.0,0.0566994426,0.0566994426,0.0,0.2342208516
96,20,36,budget,3,213.94,72.26,18,5,7,3,0,0,0.0,0,0.0,0.0,0.0,0.1120890352,0.1120890352,0.0,0.2738475473
97,21,40,budget,0,0.0,83.46,28,5,5,2,0,1,0.05,0,0.0,0.0,0.0,0.1403581493,0.178409554,0.0380514047,0.2293139932
98,25,32,standard,4,332.13,83.56,27,9,6,0,1,0,0.0,0,0.0,0.0,0.0,0.1193225359,0.1193225359,0.0,0.3493488916
99,40,56,standard,4,201.97,58.84,21,7,4,0,0,0,0.0,0,0.0,0.0,0.0,0.281593307,0.281593307,0.0,0.3654538519
100,26,10,standard,5,316.13,79.39,14,3,6,2,0,0,0.0,0,0.0,0.0,0.0,0.1404669246,0.1404669246,0.0,0.3801066745
101,32,19,standard,4,406.81,107.41,21,10,1,0,0,1,0.05,0,0.0,0.0,0.0,0.1541382709,0.1896050523,0.0354667814,0.3866953427
102,50,32,budget,4,202.62,66.16,35,6,4,0,0,0,0.0,0,0.0,0.0,0.0,0.1700672501,0.1700672501,0.0,0.2451675344
103,32,30,standard,7,705.99,98.22,17,10,7,1,0,0,0.0,1,108.93,0.0,108.93,0.1365592383,0.1365592383,0.0,0.3942357244
104,44,14,standard,7,613.19,78.22,29,6,5,2,1,0,0.0,0,0.0,0.0,0.0,0.1353175841,0.1353175841,0.0,0.3743571725
105,26,18,standard,3,414.51,115.39,74,8,4,0,0,0,0.0,0,0.0,0.0,0.0,0.0556962605,0.0556962605,0.0,0.207646797
106,34,19,budget,3,476.73,136.58,37,4,3,1,0,1,0.05,0,0.0,0.0,0.0,0.1047469151,0.1292672981,0.0245203831,0.2589270015
107,26,7,standard,2,177.5,77.17,17,8,8,1,0,0,0.0,0,0.0,0.0,0.0,0.0884438409,0.0884438409,0.0,0.2910370429
108,32,12,vip,8,992.06,117.92,17,12,10,2,0,1,0.2,0,0.0,0.0,0.0,0.2546191824,0.4895076286,0.2348884461,0.643589952
109,45,52,standard,2,81.54,38.71,21,8,8,1,0,1,0.15,0,0.0,0.0,0.0,0.3703991501,0.5537362444,0.1833370943,0.3758231044
110,18,40,premium,8,741.17,95.54,90,7,7,0,0,1,0.05,0,0.0,0.0,0.0,0.0386996234,0.0520050062,0.0133053828,0.2194347339
111,41,49,budget,3,213.39,76.47,13,5,4,1,1,0,0.0,0,0.0,0.0,0.0,0.2128502549,0.2128502549,0.0,0.3153229399
112,39,90,vip,8,854.41,100.67,46,12,9,1,0,0,0.0,0,0.0,0.0,0.0,0.3790481542,0.3790481542,0.0,0.5213834708
113,29,37,standard,6,320.64,47.43,35,8,10,0,0,0,0.0,0,0.0,0.0,0.0,0.0748076576,0.0748076576,0.0,0.2419133639
114,20,5,standard,4,369.72,76.8,125,8,4,1,0,0,0.0,0,0.0,0.0,0.0,0.015305424,0.015305424,0.0,0.1036502377
115,37,30,standard,5,216.0,39.88,37,6,7,1,0,0,0.0,0,0.0,0.0,0.0,0.1072874904,0.1072874904,0.0,0.2543196716
116,30,41,budget,3,305.14,96.64,10,0,1,0,1,1,0.05,0,0.0,0.0,0.0,0.1195256031,0.1496027711,0.030077168,0.2661688099
117,39,29,vip,2,962.13,500.0,12,14,8,0,0,0,0.0,1,494.56,0.0,494.56,0.4325926476,0.4325926476,0.0,0.6689801597
118,36,13,standard,4,358.09,97.86,30,9,11,2,1,1,0.1,0,0.0,0.0,0.0,0.0918834402,0.1601762279,0.0682927877,0.3025352554
119,54,36,standard,3,110.98,37.54,21,5,10,1,0,0,0.0,0,0.0,0.0,0.0,0.2249723624,0.2249723624,0.0,0.2860804485
120,33,50,standard,3,277.65,107.55,32,4,6,2,0,0,0.0,1,88.94,0.0,88.94,0.1125344337,0.1125344337,0.0,0.2401457827
121,25,33,standard,2,79.36,44.96,15,5,2,0,0,0,0.0,0,0.0,0.0,0.0,0.0631971636,0.0631971636,0.0,0.2145698389
122,38,53,vip,4,814.66,180.84,24,14,14,3,1,1,0.15,1,148.73,22.31,126.42,0.4797054538,0.6853415131,0.2056360594,0.6684837782
123,38,28,vip,8,1150.12,135.04,12,16,8,1,1,0,0.0,1,236.63,0.0,236.63,0.4955705856,0.4955705856,0.0,0.7764692384
124,51,30,budget,5,347.17,77.6,15,6,4,2,1,0,0.0,0,0.0,0.0,0.0,0.4068936552,0.4068936552,0.0,0.4681035098
125,45,18,budget,2,167.87,78.19,37,3,5,2,0,0,0.0,1,86.27,0.0,86.27,0.1035752694,0.1035752694,0.0,0.1920209121
126,40,41,premium,4,297.37,84.24,114,15,8,1,0,0,0.0,0,0.0,0.0,0.0,0.0430564923,0.0430564923,0.0,0.1309975562
127,52,35,standard,10,788.21,91.49,27,8,7,0,0,1,0.15,0,0.0,0.0,0.0,0.2632690009,0.3795460613,0.1162770604,0.4351362487
128,23,26,budget,3,318.63,100.92,20,11,7,1,1,0,0.0,0,0.0,0.0,0.0,0.0699735823,0.0699735823,0.0,0.2629747852
129,29,79,premium,4,383.51,98.87,9,9,11,2,0,0,0.0,0,0.0,0.0,0.0,0.3613094738,0.3613094738,0.0,0.4850707948
130,26,88,standard,8,371.42,46.13,10,5,6,1,0,1,0.05,0,0.0,0.0,0.0,0.1893261092,0.2155603551,0.0262342459,0.3358332648
131,32,28,standard,6,325.15,48.94,29,11,8,1,1,0,0.0,0,0.0,0.0,0.0,0.1860816363,0.1860816363,0.0,0.4124440198
132,21,69,standard,4,320.25,71.85,43,6,3,1,0,1,0.05,0,0.0,0.0,0.0,0.0672694435,0.0847385248,0.0174690813,0.2002379021
133,43,43,premium,6,624.72,108.16,5,7,13,0,0,1,0.2,1,140.9,28.18,112.72,0.3769599102,0.6364805809,0.2595206707,0.5471805845
134,34,57,budget,3,229.8,79.48,91,2,3,0,0,0,0.0,0,0.0,0.0,0.0,0.0369507897,0.0369507897,0.0,0.0855200017
135,20,7,standard,7,638.99,88.41,5,8,4,1,0,0,0.0,0,0.0,0.0,0.0,0.1388316261,0.1388316261,0.0,0.4832802719
136,25,30,budget,7,151.13,34.07,19,3,7,0,0,0,0.0,0,0.0,0.0,0.0,0.1087965259,0.1087965259,0.0,0.2698626105
137,39,24,standard,3,225.91,71.41,27,10,8,2,1,1,0.05,0,0.0,0.0,0.0,0.1354850776,0.171198649,0.0357135714,0.3165702905
138,45,49,premium,10,1925.28,202.27,32,16,16,2,1,1,0.2,1,248.42,49.68,198.74,0.5907603944,0.839701641,0.2489412466,0.7980454592
139,58,24,standard,5,222.9,41.85,58,9,13,1,0,0,0.0,0,0.0,0.0,0.0,0.1065946531,0.1065946531,0.0,0.1940522744
140,68,43,budget,4,228.68,63.11,39,10,5,0,0,0,0.0,0,0.0,0.0,0.0,0.2688750532,0.2688750532,0.0,0.2501946364
141,41,68,standard,1,94.59,106.51,130,3,5,0,0,0,0.0,0,0.0,0.0,0.0,0.0410376566,0.0410376566,0.0,0.0644005903
142,25,25,budget,7,321.71,55.48,75,7,6,1,1,0,0.0,0,0.0,0.0,0.0,0.0540599264,0.0540599264,0.0,0.1982674813
143,18,14,standard,4,514.41,109.3,48,6,4,0,1,0,0.0,0,0.0,0.0,0.0,0.0576175188,0.0576175188,0.0,0.2933747237
144,39,43,budget,6,283.56,43.31,56,6,9,2,1,0,0.0,0,0.0,0.0,0.0,0.1544217349,0.1544217349,0.0,0.2633555648
145,27,35,premium,9,483.35,52.65,24,13,10,0,1,1,0.2,0,0.0,0.0,0.0,0.3534587323,0.667552795,0.3140940627,0.6164226639
146,31,15,budget,7,325.96,56.43,24,5,6,1,0,0,0.0,0,0.0,0.0,0.0,0.0542897521,0.0542897521,0.0,0.2129379148
147,29,36,premium,4,240.16,70.07,10,10,4,0,1,0,0.0,1,64.94,0.0,64.94,0.1349179489,0.1349179489,0.0,0.3952401844
148,34,41,standard,4,619.36,143.76,34,7,9,1,1,0,0.0,1,93.67,0.0,93.67,0.1714377612,0.1714377612,0.0,0.3798101406
149,48,55,premium,9,1148.93,127.12,8,11,10,3,1,0,0.0,0,0.0,0.0,0.0,0.4990844838,0.4990844838,0.0,0.6847463592
150,38,7,standard,4,346.96,77.83,22,7,4,0,1,1,0.2,0,0.0,0.0,0.0,0.1860518698,0.444381161,0.2583292912,0.4223086959
151,34,25,premium,2,139.91,74.29,30,9,7,0,0,0,0.0,0,0.0,0.0,0.0,0.1235971112,0.1235971112,0.0,0.3026880697
152,25,21,premium,7,635.36,75.38,104,13,14,1,0,0,0.0,0,0.0,0.0,0.0,0.041993219,0.041993219,0.0,0.2140037327
153,18,23,standard,3,492.13,152.05,27,9,11,3,1,0,0.0,0,0.0,0.0,0.0,0.0789365851,0.0789365851,0.0,0.3335276166
154,31,49,budget,7,500.68,79.56,43,6,7,4,1,0,0.0,0,0.0,0.0,0.0,0.1330247188,0.1330247188,0.0,0.297674798
155,35,28,budget,2,160.62,71.7,7,1,4,1,1,0,0.0,0,0.0,0.0,0.0,0.2605171698,0.2605171698,0.0,0.3717561218
156,55,47,budget,8,1840.52,218.71,40,5,5,1,0,1,0.1,0,0.0,0.0,0.0,0.2926993773,0.3323623539,0.0396629766,0.4907781134
157,37,21,premium,8,638.16,80.52,57,18,4,0,0,0,0.0,0,0.0,0.0,0.0,0.0587502102,0.0587502102,0.0,0.275347523
158,47,44,standard,6,524.61,98.5,71,9,8,2,1,1,0.15,0,0.0,0.0,0.0,0.1256144141,0.2094227856,0.0838083715,0.2579309361
159,31,45,premium,4,327.2,105.53,32,10,9,0,0,0,0.0,0,0.0,0.0,0.0,0.1471684733,0.1471684733,0.0,0.341626346
160,23,9,budget,2,152.4,61.91,26,9,5,1,0,0,0.0,0,0.0,0.0,0.0,0.04336786,0.04336786,0.0,0.1861068266
161,25,69,premium,7,1268.16,158.18,45,10,6,0,0,0,0.0,0,0.0,0.0,0.0,0.2164903619,0.2164903619,0.0,0.5056628647
162,28,24,standard,4,288.61,59.26,72,9,8,3,1,1,0.15,0,0.0,0.0,0.0,0.0633161194,0.1548507917,0.0915346724,0.2227414076
163,59,12,premium,2,83.66,42.85,13,14,7,1,1,1,0.15,1,86.99,13.05,73.94,0.3710785644,0.5971067077,0.2260281433,0.4788130243
164,27,34,standard,2,188.08,75.14,35,7,11,1,0,0,0.0,0,0.0,0.0,0.0,0.0531575556,0.0531575556,0.0,0.1821881799
165,45,17,standard,2,349.4,158.13,6,6,9,2,1,0,0.0,0,0.0,0.0,0.0,0.239000464,0.239000464,0.0,0.4178793332
166,26,40,standard,6,542.79,84.38,2,12,7,0,1,0,0.0,1,73.38,0.0,73.38,0.2046797094,0.2046797094,0.0,0.4909952441
167,46,32,standard,2,100.26,59.13,20,8,5,0,0,0,0.0,0,0.0,0.0,0.0,0.1324373054,0.1324373054,0.0,0.2446446881
168,40,53,premium,7,424.56,72.45,14,7,10,0,0,0,0.0,1,65.81,0.0,65.81,0.3673441602,0.3673441602,0.0,0.5062220761
169,34,34,standard,4,325.83,97.71,19,7,9,0,0,0,0.0,0,0.0,0.0,0.0,0.1537538231,0.1537538231,0.0,0.330269097
170,36,23,premium,4,174.82,42.46,39,13,14,2,0,0,0.0,0,0.0,0.0,0.0,0.1592066063,0.1592066063,0.0,0.3482627556
171,29,32,premium,5,602.46,113.92,18,7,5,0,1,1,0.1,0,0.0,0.0,0.0,0.1770522477,0.2670224434,0.0899701957,0.4807019445
172,41,17,premium,4,624.1,150.62,20,12,6,1,0,1,0.15,0,0.0,0.0,0.0,0.2095804725,0.3527515912,0.1431711187,0.4674521545
173,31,9,standard,2,225.97,146.59,13,10,6,0,0,0,0.0,0,0.0,0.0,0.0,0.0952206419,0.0952206419,0.0,0.2971914636
174,23,26,standard,2,104.06,63.06,63,11,6,2,0,0,0.0,0,0.0,0.0,0.0,0.0277640821,0.0277640821,0.0,0.1303573889
175,22,13,standard,5,110.66,25.25,37,8,10,3,0,1,0.1,0,0.0,0.0,0.0,0.1188124933,0.2016044267,0.0827919334,0.3269786045
176,38,33,premium,5,406.47,90.22,10,7,4,0,0,0,0.0,0,0.0,0.0,0.0,0.1903876846,0.1903876846,0.0,0.4182057649
177,53,27,vip,4,475.35,123.65,16,12,7,0,1,0,0.0,0,0.0,0.0,0.0,0.3274126923,0.3274126923,0.0,0.5444140409
178,38,33,standard,5,398.99,71.96,22,5,6,1,1,0,0.0,0,0.0,0.0,0.0,0.1656916492,0.1656916492,0.0,0.3646482998
179,35,17,standard,5,300.41,55.07,61,8,7,1,0,0,0.0,0,0.0,0.0,0.0,0.1219287097,0.1219287097,0.0,0.2838271657
180,39,18,standard,7,389.88,54.79,21,2,3,1,1,1,0.15,1,64.96,9.74,55.22,0.1964776706,0.3512775535,0.1547998829,0.414645195
181,50,51,standard,5,114.88,27.13,17,11,12,3,0,0,0.0,0,0.0,0.0,0.0,0.3320981158,0.3320981158,0.0,0.3723315385
182,38,21,premium,6,234.55,50.56,17,10,2,0,0,0,0.0,0,0.0,0.0,0.0,0.116024512,0.116024512,0.0,0.3465778989
183,31,33,budget,5,273.59,74.1,55,3,2,1,0,0,0.0,0,0.0,0.0,0.0,0.0730179448,0.0730179448,0.0,0.1872586719
